symbol,price,signal,target,stop,strategy,confidence,risk_reward,position_size,expected_loss,time
BTCIRT,111454.130315,hold,111454.130315,111454.130315,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:55.309337
ETHIRT,4033.277133,hold,4033.277133,4033.277133,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:55.829315
BNBIRT,1174.606268,hold,1174.606268,1174.606268,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:56.360071
XRPIRT,2.465576,hold,2.465576,2.465576,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:56.822153
DOGEIRT,0.199227,hold,0.199227,0.199227,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:57.206728
BTCIRT,111447.341993,hold,111447.341993,111447.341993,InsufficientData,0.3,0,0,0.0,2025-10-15T13:52:58.680088
ETHIRT,4033.277133,hold,4033.277133,4033.277133,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:00.260882
BNBIRT,1174.606268,hold,1174.606268,1174.606268,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:00.730855
XRPIRT,2.465576,hold,2.465576,2.465576,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:01.379138
DOGEIRT,0.199227,hold,0.199227,0.199227,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:01.905311
BTCIRT,111454.130315,hold,111454.130315,111454.130315,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:03.495878
ETHIRT,4033.277133,hold,4033.277133,4033.277133,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:05.323127
BNBIRT,1173.607215,hold,1173.607215,1173.607215,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:05.796951
XRPIRT,2.465576,hold,2.465576,2.465576,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:06.242794
DOGEIRT,0.199318,hold,0.199318,0.199318,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:06.702854
BTCIRT,111447.328313,hold,111447.328313,111447.328313,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:08.191240
ETHIRT,4039.621706,hold,4039.621706,4039.621706,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:08.631663
BNBIRT,1173.99917,hold,1173.99917,1173.99917,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:09.118638
XRPIRT,2.466399,hold,2.466399,2.466399,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:09.621991
DOGEIRT,0.19981,hold,0.19981,0.19981,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:10.203666
BTCIRT,111477.178929,hold,111477.178929,111477.178929,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:14.759788
ETHIRT,4040.970836,hold,4040.970836,4040.970836,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:15.209454
BNBIRT,1173.99917,hold,1173.99917,1173.99917,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:15.670888
XRPIRT,2.466399,hold,2.466399,2.466399,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:16.154623
DOGEIRT,0.19981,hold,0.19981,0.19981,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:16.604828
BTCIRT,111498.398068,hold,111498.398068,111498.398068,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:19.167272
ETHIRT,4044.051273,hold,4044.051273,4044.051273,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:19.632206
BNBIRT,1174.073353,hold,1174.073353,1174.073353,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:20.089415
XRPIRT,2.466555,hold,2.466555,2.466555,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:20.536440
DOGEIRT,0.199823,hold,0.199823,0.199823,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:20.982602
BTCIRT,111498.398068,hold,111498.398068,111498.398068,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:22.453075
ETHIRT,4044.051273,hold,4044.051273,4044.051273,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:22.803333
BNBIRT,1174.073353,hold,1174.073353,1174.073353,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:23.175123
XRPIRT,2.466555,hold,2.466555,2.466555,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:23.545365
DOGEIRT,0.199823,hold,0.199823,0.199823,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:24.152158
BTCIRT,111491.593365,hold,111491.593365,111491.593365,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:25.650629
ETHIRT,4044.051273,hold,4044.051273,4044.051273,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:26.112415
BNBIRT,1174.073353,hold,1174.073353,1174.073353,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:26.582804
XRPIRT,2.473082,hold,2.473082,2.473082,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:26.953763
DOGEIRT,0.199861,hold,0.199861,0.199861,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:30.542190
BTCIRT,111506.450529,hold,111506.450529,111506.450529,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:31.984161
ETHIRT,4044.343336,hold,4044.343336,4044.343336,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:33.517679
BNBIRT,1174.158145,hold,1174.158145,1174.158145,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:33.967994
XRPIRT,2.473082,hold,2.473082,2.473082,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:34.413433
DOGEIRT,0.199847,hold,0.199847,0.199847,InsufficientData,0.3,0,0,0.0,2025-10-15T13:53:34.860898
BTCIRT,111498.398068,sell,109825.922097,113170.874039,MAfast<MAslow,0.6,1.0,0.005979,9.999734,2025-10-15T13:53:36.462061
ETHIRT,4044.301237,buy,4104.965756,3983.636718,MAfast>MAslow,0.6,1.0,0.164841,10.0,2025-10-15T13:53:36.912779
BNBIRT,1174.073353,sell,1156.462253,1191.684453,MAfast<MAslow,0.6,1.0,0.567824,10.000005,2025-10-15T13:53:37.400060
XRPIRT,2.473082,sell,2.448351,2.497813,RSI>70,0.7,1.0,404.353758,10.000073,2025-10-15T13:53:37.883779
DOGEIRT,0.199847,sell,0.197849,0.201845,RSI>70,0.7,1.0,5003.827928,9.997648,2025-10-15T13:53:38.376993
BTCIRT,111491.60705,sell,109819.232944,113163.981156,MAfast<MAslow,0.6,1.0,0.00598,10.000797,2025-10-15T13:53:39.904592
ETHIRT,4044.301237,buy,4104.965756,3983.636718,MAfast>MAslow,0.6,1.0,0.164841,10.0,2025-10-15T13:53:40.672108
BNBIRT,1174.073353,sell,1156.462253,1191.684453,MAfast<MAslow,0.6,1.0,0.567824,10.000005,2025-10-15T13:53:41.250109
XRPIRT,2.469092,buy,2.506128,2.432056,MAfast>MAslow,0.6,1.0,270.00479,9.999897,2025-10-15T13:53:41.730618
DOGEIRT,0.200203,sell,0.198201,0.202205,RSI>70,0.7,1.0,4994.930146,9.99985,2025-10-15T13:53:45.289282
BTCIRT,111477.206306,sell,109805.048211,113149.364401,MAfast<MAslow,0.6,1.0,0.00598,9.999505,2025-10-15T13:53:46.756565
ETHIRT,4059.363833,buy,4120.25429,3998.473376,MAfast>MAslow,0.6,1.0,0.164229,9.999979,2025-10-15T13:53:47.226004
BNBIRT,1173.99917,sell,1156.389182,1191.609158,MAfast<MAslow,0.6,1.0,0.56786,10.000008,2025-10-15T13:53:47.710969
XRPIRT,2.468936,buy,2.50597,2.431902,MAfast>MAslow,0.6,1.0,270.02185,9.999989,2025-10-15T13:53:48.311415
DOGEIRT,0.200203,sell,0.198201,0.202205,RSI>70,0.7,1.0,4994.930146,9.99985,2025-10-15T13:53:48.773669
BTCIRT,111477.206306,sell,109805.048211,113149.364401,MAfast<MAslow,0.6,1.0,0.00598,9.999505,2025-10-15T13:53:51.243808
ETHIRT,4059.363833,sell,4018.770195,4099.957471,RSI>70,0.7,1.0,0.246344,9.999999,2025-10-15T13:53:51.714316
BNBIRT,1173.999197,sell,1156.389209,1191.609185,MAfast<MAslow,0.6,1.0,0.56786,10.000008,2025-10-15T13:53:52.233345
XRPIRT,2.468936,buy,2.50597,2.431902,MAfast>MAslow,0.6,1.0,270.02185,9.999989,2025-10-15T13:53:52.668977
DOGEIRT,0.199812,buy,0.202809,0.196815,MAfast>MAslow,0.6,1.0,3336.469615,9.999399,2025-10-15T13:53:53.048188
BTCIRT,111491.353119,buy,113163.723416,109818.982822,MAfast>MAslow,0.6,1.0,0.00598,10.000774,2025-10-15T13:53:55.513034
ETHIRT,4059.363833,sell,4018.770195,4099.957471,RSI>70,0.7,1.0,0.246344,9.999999,2025-10-15T13:53:55.998269
BNBIRT,1173.999197,buy,1185.739189,1162.259205,RSI<30,0.7,1.0,0.851789,9.999996,2025-10-15T13:53:56.585820
XRPIRT,2.468936,buy,2.50597,2.431902,MAfast>MAslow,0.6,1.0,270.02185,9.999989,2025-10-15T13:53:57.045310
DOGEIRT,0.199812,buy,0.202809,0.196815,MAfast>MAslow,0.6,1.0,3336.469615,9.999399,2025-10-15T13:53:57.446462
BTCIRT,111477.206306,buy,113149.364401,109805.048211,MAfast>MAslow,0.6,1.0,0.00598,9.999505,2025-10-15T13:53:58.901155
ETHIRT,4059.363833,sell,4018.770195,4099.957471,RSI>70,0.7,1.0,0.246344,9.999999,2025-10-15T13:53:59.357598
BNBIRT,1173.999197,sell,1156.389209,1191.609185,MAfast<MAslow,0.6,1.0,0.56786,10.000008,2025-10-15T13:53:59.927260
XRPIRT,2.468936,buy,2.50597,2.431902,MAfast>MAslow,0.6,1.0,270.02185,9.999989,2025-10-15T13:54:00.383071
DOGEIRT,0.199812,sell,0.197814,0.20181,RSI>70,0.7,1.0,5004.704422,9.999399,2025-10-15T13:54:00.753043
BTCIRT,111477.206306,buy,113149.364401,109805.048211,MAfast>MAslow,0.6,1.0,0.00598,9.999505,2025-10-15T13:54:02.210044
ETHIRT,4059.363833,sell,4018.770195,4099.957471,RSI>70,0.7,1.0,0.246344,9.999999,2025-10-15T13:54:02.682623
BNBIRT,1173.999197,sell,1156.389209,1191.609185,MAfast<MAslow,0.6,1.0,0.56786,10.000008,2025-10-15T13:54:03.158786
XRPIRT,2.468936,buy,2.50597,2.431902,MAfast>MAslow,0.6,1.0,270.02185,9.999989,2025-10-15T13:54:03.536208
DOGEIRT,0.199812,sell,0.197814,0.20181,RSI>70,0.7,1.0,5004.704422,9.999399,2025-10-15T13:54:03.979797
BTCIRT,111477.206306,buy,113149.364401,109805.048211,MAfast>MAslow,0.6,1.0,0.00598,9.999505,2025-10-15T13:54:05.593170
ETHIRT,4059.363833,sell,4018.770195,4099.957471,RSI>70,0.7,1.0,0.246344,9.999999,2025-10-15T13:54:06.084969
BNBIRT,1173.999197,sell,1162.259205,1185.739189,RSI>70,0.7,1.0,0.851789,9.999996,2025-10-15T13:54:06.447867
XRPIRT,2.468936,buy,2.50597,2.431902,MAfast>MAslow,0.6,1.0,270.02185,9.999989,2025-10-15T13:54:06.882606
DOGEIRT,0.199812,buy,0.202809,0.196815,MAfast>MAslow,0.6,1.0,3336.469615,9.999399,2025-10-15T13:54:07.321252
