Date,Open,High,Low,Close,VolumeFrom,VolumeTo,symbol
2025-10-15 05:00:00,112342.93,112657.21,112188.38,112429.99,1961.67,220557088.86,BTC
2025-10-15 06:00:00,112429.99,112559.33,111898.97,112448.42,2243.34,251767518.14,BTC
2025-10-15 07:00:00,112448.42,112677.35,112236.51,112580.13,2515.51,282898358.12,BTC
2025-10-15 08:00:00,112580.13,113513.8,112545.0,112950.88,3987.05,450815675.02,BTC
2025-10-15 09:00:00,112950.88,113126.01,112386.06,112562.34,2602.54,293344040.87,BTC
2025-10-15 10:00:00,112562.34,112649.74,112095.38,112264.28,3236.04,363609147.49,BTC
2025-10-15 11:00:00,112264.28,112604.98,111688.08,111904.39,3004.73,336724976.24,BTC
2025-10-15 12:00:00,111904.39,112088.45,111397.55,111710.86,3467.61,387383897.68,BTC
2025-10-15 13:00:00,111710.86,112007.02,110764.8,111393.9,6105.47,679840055.95,BTC
2025-10-15 14:00:00,111393.9,112233.07,110805.55,111060.94,6084.05,678848580.41,BTC
2025-10-15 15:00:00,111060.94,111579.74,110387.34,110792.44,6174.2,684655782.49,BTC
2025-10-15 16:00:00,110792.44,111110.27,110603.17,110743.5,3009.2,333521421.53,BTC
2025-10-15 17:00:00,110743.5,111182.64,110158.85,111182.61,4179.88,461973184.4,BTC
2025-10-15 18:00:00,111182.61,111501.34,110823.17,111441.23,1979.04,220003766.49,BTC
2025-10-15 19:00:00,111441.23,111554.44,111092.45,111271.48,2357.12,262363397.72,BTC
2025-10-15 20:00:00,111271.48,111556.57,110539.93,111106.21,2958.6,328804836.62,BTC
2025-10-15 21:00:00,111106.21,111420.73,110501.0,110845.45,2731.51,303063933.47,BTC
2025-10-15 22:00:00,110845.45,111387.7,110664.07,110664.91,1516.03,168335143.64,BTC
2025-10-15 23:00:00,110664.91,111001.97,110586.81,110752.17,1562.3,173108109.57,BTC
2025-10-16 00:00:00,110752.17,110850.61,110358.19,110433.01,2499.81,276428531.79,BTC
2025-10-16 01:00:00,110433.01,111329.64,110424.83,111297.08,2532.81,280997746.53,BTC
2025-10-16 02:00:00,111297.08,111550.46,111020.07,111513.42,2504.45,278890863.6,BTC
2025-10-16 03:00:00,111513.42,111848.48,111272.32,111326.14,2280.01,254387814.77,BTC
2025-10-16 04:00:00,111326.14,111666.77,110812.55,110972.47,1869.65,208019187.82,BTC
2025-10-16 05:00:00,110972.47,111465.9,110742.66,110946.67,2628.0,291970016.94,BTC
2025-10-16 06:00:00,110946.67,111716.9,110925.08,111667.94,1962.54,218447755.66,BTC
2025-10-16 07:00:00,111667.94,111769.65,110553.29,110576.79,3654.11,405403312.11,BTC
2025-10-16 08:00:00,110576.79,110897.9,110402.99,110816.48,2689.71,297561475.72,BTC
2025-10-16 09:00:00,110816.48,111644.98,109634.37,111151.62,7779.98,861058626.75,BTC
2025-10-16 10:00:00,111151.62,111713.47,111029.73,111473.07,3051.51,339920820.05,BTC
2025-10-16 11:00:00,111473.07,111559.18,111007.77,111403.14,2197.97,244545116.99,BTC
2025-10-16 12:00:00,111403.14,111981.54,111338.3,111523.33,3229.86,360427365.0,BTC
2025-10-16 13:00:00,111523.33,111548.95,110682.85,110867.36,3888.15,432191891.23,BTC
2025-10-16 14:00:00,110867.36,111422.1,109731.85,110523.43,8019.4,886512111.21,BTC
2025-10-16 15:00:00,110523.43,110723.3,108371.97,108553.58,10700.94,1170835416.09,BTC
2025-10-16 16:00:00,108553.58,109254.31,107579.05,109231.38,11327.43,1226384259.69,BTC
2025-10-16 17:00:00,109231.38,109236.51,108219.96,108273.86,6571.59,713767182.36,BTC
2025-10-16 18:00:00,108273.86,108653.66,107678.44,108651.42,7190.05,777372129.1,BTC
2025-10-16 19:00:00,108651.42,108744.95,107686.83,108194.11,6965.14,753198110.96,BTC
2025-10-16 20:00:00,108194.11,108421.22,107437.73,107838.89,4367.64,471353767.86,BTC
2025-10-16 21:00:00,107838.89,108457.27,107591.3,108437.03,1978.18,213766047.24,BTC
2025-10-16 22:00:00,108437.03,108486.84,107779.95,107795.61,1509.7,163170248.18,BTC
2025-10-16 23:00:00,107795.61,108418.55,107739.42,108191.84,1624.56,175619022.69,BTC
2025-10-17 00:00:00,108191.84,108835.07,107935.92,108789.25,2417.31,262099652.47,BTC
2025-10-17 01:00:00,108789.25,109107.52,108508.81,108835.44,2295.18,249788209.92,BTC
2025-10-17 02:00:00,108835.44,109064.76,108393.34,108972.96,2203.5,239473915.38,BTC
2025-10-17 03:00:00,108972.96,109228.66,108901.24,109176.96,1833.35,199902023.59,BTC
2025-10-17 04:00:00,109176.96,109232.71,108789.2,108793.64,1564.93,170569933.43,BTC
2025-10-17 05:00:00,108793.64,108917.68,108306.73,108381.98,2172.71,236031480.47,BTC
2025-10-17 06:00:00,108381.98,108511.81,106702.9,106749.05,8035.18,862568940.17,BTC
2025-10-17 07:00:00,106749.05,106903.88,105531.83,105622.62,10589.26,1123934162.53,BTC
2025-10-17 08:00:00,105622.62,105697.42,104508.86,104882.32,11610.82,1220600941.03,BTC
2025-10-17 09:00:00,104882.32,105623.21,104535.3,104535.45,4881.17,513046984.5,BTC
2025-10-17 10:00:00,104535.45,104907.95,103535.61,104749.08,9000.73,938580872.11,BTC
