Date,Open,High,Low,Close,VolumeFrom,VolumeTo,symbol
2025-10-13 07:00:00,7.62e-06,7.77e-06,7.6e-06,7.6e-06,1215880590137.6,9337861.56,PEPE
2025-10-13 08:00:00,7.6e-06,7.69e-06,7.57e-06,7.66e-06,1056936463016.01,8058152.12,PEPE
2025-10-13 09:00:00,7.66e-06,7.66e-06,7.53e-06,7.64e-06,844819258783.38,6416065.13,PEPE
2025-10-13 10:00:00,7.64e-06,7.68e-06,7.57e-06,7.65e-06,790602219831.44,6028910.17,PEPE
2025-10-13 11:00:00,7.65e-06,7.67e-06,7.34e-06,7.49e-06,3098425787635.63,23206913.91,PEPE
2025-10-13 12:00:00,7.49e-06,7.67e-06,7.43e-06,7.59e-06,1217404982463.34,9217076.37,PEPE
2025-10-13 13:00:00,7.59e-06,7.81e-06,7.54e-06,7.71e-06,4049537074356.15,31152186.71,PEPE
2025-10-13 14:00:00,7.71e-06,7.74e-06,7.52e-06,7.58e-06,2034576017815.53,15514885.31,PEPE
2025-10-13 15:00:00,7.58e-06,7.8e-06,7.57e-06,7.76e-06,1434947380921.16,11056277.62,PEPE
2025-10-13 16:00:00,7.76e-06,7.87e-06,7.72e-06,7.82e-06,1848840291341.46,14407740.05,PEPE
2025-10-13 17:00:00,7.82e-06,7.97e-06,7.8e-06,7.97e-06,1509805892560.74,11887474.35,PEPE
2025-10-13 18:00:00,7.97e-06,7.97e-06,7.86e-06,7.86e-06,1042018155203.0,8262289.94,PEPE
2025-10-13 19:00:00,7.86e-06,7.92e-06,7.83e-06,7.87e-06,716826731861.97,5641464.49,PEPE
2025-10-13 20:00:00,7.87e-06,7.95e-06,7.84e-06,7.94e-06,539209186987.0,4250206.66,PEPE
2025-10-13 21:00:00,7.94e-06,7.97e-06,7.86e-06,7.87e-06,639440432143.0,5062896.25,PEPE
2025-10-13 22:00:00,7.87e-06,7.95e-06,7.87e-06,7.92e-06,452879148069.77,3580395.34,PEPE
2025-10-13 23:00:00,7.92e-06,7.92e-06,7.8e-06,7.84e-06,806908647766.84,6347095.39,PEPE
2025-10-14 00:00:00,7.84e-06,7.91e-06,7.82e-06,7.89e-06,585769453880.39,4608637.45,PEPE
2025-10-14 01:00:00,7.89e-06,7.89e-06,7.78e-06,7.81e-06,661232708330.0,5178020.62,PEPE
2025-10-14 02:00:00,7.81e-06,7.82e-06,7.68e-06,7.71e-06,884544807478.14,6845322.56,PEPE
2025-10-14 03:00:00,7.71e-06,7.72e-06,7.62e-06,7.67e-06,964411830681.0,7388904.85,PEPE
2025-10-14 04:00:00,7.67e-06,7.7e-06,7.52e-06,7.56e-06,905504721486.55,6882264.8,PEPE
2025-10-14 05:00:00,7.56e-06,7.64e-06,7.43e-06,7.48e-06,1808636762891.37,13591594.98,PEPE
2025-10-14 06:00:00,7.48e-06,7.53e-06,7.16e-06,7.31e-06,3053702801644.37,22403837.66,PEPE
