Date,Open,High,Low,Close,Volume,symbol
2025-10-10 06:00:00,1271.16,1278.53,1268.19,1268.35,24915.6,BNBUSDT
2025-10-10 07:00:00,1268.35,1273.47,1261.38,1263.79,25388.76,BNBUSDT
2025-10-10 08:00:00,1263.79,1269.54,1262.11,1267.1,18662.53,BNBUSDT
2025-10-10 09:00:00,1267.1,1267.67,1248.06,1249.05,35484.18,BNBUSDT
2025-10-10 10:00:00,1249.05,1252.46,1245.89,1251.45,19793.15,BNBUSDT
2025-10-10 11:00:00,1251.45,1273.72,1250.57,1270.78,55297.82,BNBUSDT
2025-10-10 12:00:00,1270.78,1274.21,1266.28,1270.04,27432.85,BNBUSDT
2025-10-10 13:00:00,1270.04,1272.07,1248.09,1252.01,58256.35,BNBUSDT
2025-10-10 14:00:00,1252.01,1256.65,1240.75,1241.54,46143.63,BNBUSDT
2025-10-10 15:00:00,1241.54,1241.54,1206.64,1215.64,176304.28,BNBUSDT
2025-10-10 16:00:00,1215.64,1242.69,1213.63,1227.24,73830.35,BNBUSDT
2025-10-10 17:00:00,1227.24,1232.96,1222.62,1228.36,44817.35,BNBUSDT
2025-10-10 18:00:00,1228.36,1234.35,1222.31,1222.31,27903.57,BNBUSDT
2025-10-10 19:00:00,1222.31,1247.15,1211.12,1235.72,81843.89,BNBUSDT
2025-10-10 20:00:00,1235.72,1243.52,1203.72,1206.16,80752.36,BNBUSDT
2025-10-10 21:00:00,1206.16,1209.8,890.86,1060.02,220808.4,BNBUSDT
2025-10-10 22:00:00,1060.02,1140.84,1054.51,1129.39,48014.84,BNBUSDT
2025-10-10 23:00:00,1129.39,1138.83,1093.53,1102.52,171884.97,BNBUSDT
2025-10-11 00:00:00,1102.52,1130.85,1081.39,1117.28,108693.14,BNBUSDT
2025-10-11 01:00:00,1117.28,1118.35,1075.35,1084.01,99262.9,BNBUSDT
2025-10-11 02:00:00,1084.01,1143.37,1083.42,1139.78,99230.4,BNBUSDT
2025-10-11 03:00:00,1139.78,1142.95,1118.58,1128.37,67927.9,BNBUSDT
2025-10-11 04:00:00,1128.37,1140.09,1125.76,1137.13,37602.77,BNBUSDT
2025-10-11 05:00:00,1137.13,1139.37,1107.93,1108.8,49849.42,BNBUSDT
2025-10-11 06:00:00,1108.8,1116.42,1095.89,1097.97,39612.08,BNBUSDT
2025-10-11 07:00:00,1097.97,1099.69,1084.67,1094.29,73404.48,BNBUSDT
2025-10-11 08:00:00,1094.29,1115.6,1090.24,1115.19,52229.25,BNBUSDT
2025-10-11 09:00:00,1115.19,1131.52,1113.48,1123.27,52285.1,BNBUSDT
2025-10-11 10:00:00,1123.27,1140.12,1122.69,1131.4,43120.08,BNBUSDT
2025-10-11 11:00:00,1131.4,1133.22,1122.03,1129.87,34497.71,BNBUSDT
2025-10-11 12:00:00,1129.87,1131.05,1118.43,1124.9,36763.97,BNBUSDT
2025-10-11 13:00:00,1124.9,1135.74,1115.94,1135.11,47089.78,BNBUSDT
2025-10-11 14:00:00,1135.11,1138.22,1128.37,1129.03,36243.58,BNBUSDT
2025-10-11 15:00:00,1129.03,1158.42,1128.78,1142.8,67348.12,BNBUSDT
2025-10-11 16:00:00,1142.8,1154.47,1136.48,1152.83,43323.6,BNBUSDT
2025-10-11 17:00:00,1152.83,1182.86,1147.18,1179.06,76485.39,BNBUSDT
2025-10-11 18:00:00,1179.06,1180.62,1170.88,1173.07,32013.85,BNBUSDT
2025-10-11 19:00:00,1173.07,1174.17,1135.45,1141.27,65745.76,BNBUSDT
2025-10-11 20:00:00,1141.27,1143.51,1116.41,1123.45,45677.01,BNBUSDT
2025-10-11 21:00:00,1123.45,1142.17,1106.26,1137.34,58852.54,BNBUSDT
2025-10-11 22:00:00,1137.34,1147.32,1130.14,1145.3,32024.42,BNBUSDT
2025-10-11 23:00:00,1145.3,1147.58,1134.29,1135.13,24912.88,BNBUSDT
2025-10-12 00:00:00,1135.13,1138.01,1111.33,1112.62,34356.28,BNBUSDT
2025-10-12 01:00:00,1112.62,1122.46,1107.47,1110.44,42083.71,BNBUSDT
2025-10-12 02:00:00,1110.44,1124.17,1108.57,1113.36,22861.08,BNBUSDT
2025-10-12 03:00:00,1113.36,1130.01,1111.65,1121.32,31047.71,BNBUSDT
2025-10-12 04:00:00,1121.32,1134.14,1117.63,1133.35,23937.02,BNBUSDT
2025-10-12 05:00:00,1133.35,1152.86,1128.54,1145.74,31850.46,BNBUSDT
2025-10-12 06:00:00,1145.74,1157.18,1144.08,1155.49,37853.54,BNBUSDT
2025-10-12 07:00:00,1155.49,1169.97,1153.61,1160.88,44057.69,BNBUSDT
2025-10-12 08:00:00,1160.88,1184.77,1154.76,1178.18,90074.08,BNBUSDT
2025-10-12 09:00:00,1178.18,1221.42,1166.82,1218.93,101418.39,BNBUSDT
2025-10-12 10:00:00,1218.93,1228.39,1209.24,1214.42,103766.18,BNBUSDT
2025-10-12 11:00:00,1214.42,1230.85,1214.42,1230.12,57107.39,BNBUSDT
2025-10-12 12:00:00,1230.12,1260.22,1229.49,1241.8,122075.82,BNBUSDT
2025-10-12 13:00:00,1241.8,1245.91,1220.35,1224.23,78130.04,BNBUSDT
2025-10-12 14:00:00,1224.23,1273.87,1222.14,1262.14,123655.28,BNBUSDT
2025-10-12 15:00:00,1262.14,1307.81,1258.03,1302.42,174515.4,BNBUSDT
2025-10-12 16:00:00,1302.42,1312.32,1273.2,1296.55,172817.61,BNBUSDT
2025-10-12 17:00:00,1296.55,1303.17,1290.55,1298.61,68845.75,BNBUSDT
2025-10-12 18:00:00,1298.61,1303.43,1285.4,1299.25,60939.99,BNBUSDT
2025-10-12 19:00:00,1299.25,1302.13,1291.68,1296.35,34161.7,BNBUSDT
2025-10-12 20:00:00,1296.35,1319.86,1292.67,1303.72,63994.93,BNBUSDT
2025-10-12 21:00:00,1303.72,1309.08,1280.12,1292.08,53160.32,BNBUSDT
2025-10-12 22:00:00,1292.08,1301.33,1276.41,1287.47,63782.74,BNBUSDT
2025-10-12 23:00:00,1287.47,1304.81,1281.74,1302.81,47038.96,BNBUSDT
2025-10-13 00:00:00,1302.81,1322.14,1298.35,1312.92,85622.45,BNBUSDT
2025-10-13 01:00:00,1312.92,1315.12,1296.67,1307.72,45903.01,BNBUSDT
2025-10-13 02:00:00,1307.72,1311.94,1292.11,1302.56,37672.41,BNBUSDT
2025-10-13 03:00:00,1302.56,1314.55,1295.11,1296.4,42172.84,BNBUSDT
2025-10-13 04:00:00,1296.4,1298.75,1283.37,1292.49,40818.66,BNBUSDT
2025-10-13 05:00:00,1292.49,1301.35,1289.95,1297.88,34587.63,BNBUSDT
2025-10-13 06:00:00,1297.88,1344.91,1296.87,1324.06,144198.84,BNBUSDT
2025-10-13 07:00:00,1324.06,1353.81,1324.06,1343.89,152119.62,BNBUSDT
2025-10-13 08:00:00,1343.89,1375.31,1343.57,1368.87,134940.13,BNBUSDT
2025-10-13 09:00:00,1368.87,1369.08,1342.13,1352.39,151741.64,BNBUSDT
