Date,Open,High,Low,Close,VolumeFrom,VolumeTo,symbol
2025-10-13 07:00:00,1324.06,1353.81,1324.06,1343.89,152119.62,204434219.54,BNB
2025-10-13 08:00:00,1343.89,1375.31,1343.57,1368.87,134940.13,183358150.99,BNB
2025-10-13 09:00:00,1368.87,1369.08,1342.13,1352.39,151741.64,205965335.42,BNB
2025-10-13 10:00:00,1352.39,1356.98,1307.55,1314.24,256094.48,339519866.19,BNB
2025-10-13 11:00:00,1314.24,1314.24,1269.28,1294.27,173571.65,224492675.13,BNB
2025-10-13 12:00:00,1294.27,1304.51,1281.53,1285.14,87306.76,112955139.58,BNB
2025-10-13 13:00:00,1285.14,1304.09,1276.62,1298.62,131274.26,169410464.63,BNB
2025-10-13 14:00:00,1298.62,1300.85,1251.31,1259.4,129582.35,164683796.67,BNB
2025-10-13 15:00:00,1259.4,1281.45,1257.93,1274.13,70279.98,89347187.62,BNB
2025-10-13 16:00:00,1274.13,1287.28,1271.6,1278.37,86253.59,110385214.41,BNB
2025-10-13 17:00:00,1278.37,1288.51,1267.35,1285.93,67534.96,86219572.3,BNB
2025-10-13 18:00:00,1285.93,1285.93,1261.58,1267.38,73557.43,93667676.41,BNB
2025-10-13 19:00:00,1267.38,1279.71,1265.51,1271.39,60666.4,77142328.89,BNB
2025-10-13 20:00:00,1271.39,1286.55,1271.39,1285.19,48152.26,61596547.82,BNB
2025-10-13 21:00:00,1285.19,1290.06,1277.59,1287.74,46223.27,59250795.61,BNB
2025-10-13 22:00:00,1287.74,1298.44,1284.69,1293.03,59150.64,76409832.74,BNB
2025-10-13 23:00:00,1293.03,1299.06,1289.07,1294.65,40829.19,52810456.53,BNB
2025-10-14 00:00:00,1294.65,1318.14,1292.95,1302.52,63821.91,83382783.5,BNB
2025-10-14 01:00:00,1302.52,1302.52,1284.94,1290.36,37777.39,48857402.1,BNB
2025-10-14 02:00:00,1290.36,1295.25,1281.22,1282.54,34734.76,44705969.48,BNB
2025-10-14 03:00:00,1282.54,1284.1,1271.34,1278.2,53298.86,68065143.77,BNB
2025-10-14 04:00:00,1278.2,1280.21,1237.86,1239.85,89109.63,112224607.5,BNB
2025-10-14 05:00:00,1239.85,1249.92,1230.17,1236.98,92667.17,114855301.85,BNB
2025-10-14 06:00:00,1236.98,1243.6,1180.89,1202.97,173476.34,209557632.19,BNB
2025-10-14 07:00:00,1202.97,1216.85,1188.34,1195.38,97487.32,117339563.76,BNB
2025-10-14 08:00:00,1195.38,1209.19,1189.5,1197.59,64928.92,77877320.87,BNB
2025-10-14 09:00:00,1197.59,1212.9,1196.57,1199.35,48390.26,58271111.42,BNB
2025-10-14 10:00:00,1199.35,1199.51,1165.53,1183.27,143424.62,169455796.91,BNB
2025-10-14 11:00:00,1183.27,1196.97,1168.45,1170.42,100036.21,118249026.79,BNB
2025-10-14 12:00:00,1170.42,1173.86,1143.05,1149.77,133807.98,155038221.01,BNB
2025-10-14 13:00:00,1149.77,1195.77,1146.15,1179.85,195556.94,228553259.92,BNB
2025-10-14 14:00:00,1179.85,1199.34,1177.28,1181.96,112503.16,133639722.15,BNB
2025-10-14 15:00:00,1181.96,1215.94,1173.36,1213.66,108598.35,129711902.7,BNB
2025-10-14 16:00:00,1213.66,1249.31,1207.4,1215.4,188946.33,231539579.4,BNB
2025-10-14 17:00:00,1215.4,1225.68,1195.01,1215.5,102052.84,123902280.07,BNB
2025-10-14 18:00:00,1215.5,1228.61,1208.91,1214.47,64577.91,78742247.08,BNB
2025-10-14 19:00:00,1214.47,1224.89,1192.64,1206.4,70620.51,85326417.61,BNB
2025-10-14 20:00:00,1206.4,1219.65,1203.46,1218.0,39977.79,48465856.95,BNB
2025-10-14 21:00:00,1218.0,1222.56,1212.75,1217.13,34047.75,41456252.69,BNB
2025-10-14 22:00:00,1217.13,1221.14,1206.73,1208.2,64078.73,77753154.56,BNB
2025-10-14 23:00:00,1208.2,1220.76,1207.24,1208.43,62582.4,76055556.15,BNB
2025-10-15 00:00:00,1208.43,1213.21,1200.0,1209.64,41182.04,49631984.18,BNB
2025-10-15 01:00:00,1209.64,1212.09,1199.77,1206.79,32556.71,39212137.16,BNB
2025-10-15 02:00:00,1206.79,1222.92,1206.34,1217.26,33976.57,41325998.28,BNB
2025-10-15 03:00:00,1217.26,1219.13,1202.63,1206.62,33967.68,41123619.32,BNB
2025-10-15 04:00:00,1206.62,1216.45,1203.21,1210.06,35929.31,43453042.09,BNB
2025-10-15 05:00:00,1210.06,1213.99,1184.62,1192.59,83757.73,100106099.23,BNB
2025-10-15 06:00:00,1192.59,1194.37,1176.8,1190.29,79299.43,93940688.44,BNB
2025-10-15 07:00:00,1190.29,1191.4,1181.1,1189.91,54619.16,64785965.32,BNB
2025-10-15 08:00:00,1189.91,1215.37,1187.94,1203.09,89567.24,107845611.2,BNB
2025-10-15 09:00:00,1203.09,1203.09,1186.61,1188.28,53430.18,63769826.88,BNB
2025-10-15 10:00:00,1188.28,1192.31,1180.55,1182.27,29096.02,34490800.74,BNB
2025-10-15 11:00:00,1182.27,1187.53,1177.2,1185.11,29575.3,34985309.87,BNB
2025-10-15 12:00:00,1185.11,1191.38,1178.02,1178.37,44825.08,53030339.53,BNB
2025-10-15 13:00:00,1178.37,1184.79,1166.28,1176.15,64518.04,75743948.14,BNB
2025-10-15 14:00:00,1176.15,1187.35,1165.8,1171.52,42640.32,50206641.72,BNB
2025-10-15 15:00:00,1171.52,1176.2,1164.69,1168.64,54824.28,64182768.66,BNB
2025-10-15 16:00:00,1168.64,1188.01,1158.61,1181.48,67983.55,79782060.44,BNB
2025-10-15 17:00:00,1181.48,1181.92,1156.19,1167.36,46460.36,54222880.69,BNB
2025-10-15 18:00:00,1167.36,1173.26,1161.86,1171.78,23592.61,27521568.68,BNB
2025-10-15 19:00:00,1171.78,1171.89,1162.98,1164.4,10217.31,11929444.9,BNB
2025-10-15 20:00:00,1164.4,1170.52,1151.62,1155.86,32628.1,37823433.07,BNB
2025-10-15 21:00:00,1155.86,1162.12,1148.97,1153.37,29428.08,33971771.66,BNB
2025-10-15 22:00:00,1153.37,1165.52,1151.71,1154.06,20739.03,24023303.44,BNB
2025-10-15 23:00:00,1154.06,1165.36,1151.9,1162.63,14669.13,17017656.58,BNB
2025-10-16 00:00:00,1162.63,1171.71,1158.78,1171.15,20950.99,24427261.27,BNB
2025-10-16 01:00:00,1171.15,1185.79,1169.68,1182.98,33329.87,39308865.71,BNB
2025-10-16 02:00:00,1182.98,1195.16,1181.49,1191.74,36562.8,43489623.86,BNB
2025-10-16 03:00:00,1191.74,1194.72,1180.67,1183.85,29353.37,34869672.9,BNB
2025-10-16 04:00:00,1183.85,1191.16,1173.88,1179.05,28515.86,33764997.42,BNB
2025-10-16 05:00:00,1179.05,1188.89,1175.43,1182.78,28168.86,33271667.88,BNB
2025-10-16 06:00:00,1182.78,1192.34,1180.74,1188.63,28625.7,33981000.69,BNB
2025-10-16 07:00:00,1188.63,1189.17,1178.61,1184.47,25994.08,30739994.54,BNB
2025-10-16 08:00:00,1184.47,1189.31,1178.71,1187.17,32109.02,38013399.95,BNB
2025-10-16 09:00:00,1187.17,1194.32,1171.03,1179.79,78341.99,92802598.26,BNB
2025-10-16 10:00:00,1179.79,1188.52,1176.54,1180.36,44377.28,52416457.53,BNB
2025-10-16 11:00:00,1180.36,1182.14,1170.26,1181.66,18767.99,22081011.5,BNB
