Date,Open,High,Low,Close,Volume,symbol
2025-10-12 09:00:00,3822.98,3848.06,3806.52,3843.8,53055.06,ETH
2025-10-12 10:00:00,3843.8,3861.64,3815.74,3820.18,75534.99,ETH
2025-10-12 11:00:00,3820.18,3833.63,3814.84,3820.45,38651.47,ETH
2025-10-12 12:00:00,3820.45,3849.17,3818.92,3832.19,61546.27,ETH
2025-10-12 13:00:00,3832.19,3834.5,3795.3,3810.12,91725.7,ETH
2025-10-12 14:00:00,3810.12,4016.78,3808.61,3982.15,251271.5,ETH
2025-10-12 15:00:00,3982.15,4078.19,3978.44,4034.45,304196.2,ETH
2025-10-12 16:00:00,4034.45,4155.99,4034.44,4106.14,251397.77,ETH
2025-10-12 17:00:00,4106.14,4158.48,4099.12,4127.61,145236.7,ETH
2025-10-12 18:00:00,4127.61,4146.53,4096.59,4109.56,82053.29,ETH
2025-10-12 19:00:00,4109.56,4140.21,4108.37,4135.87,53948.71,ETH
2025-10-12 20:00:00,4135.87,4192.43,4126.41,4136.66,119072.37,ETH
2025-10-12 21:00:00,4136.66,4164.43,4081.69,4135.54,112853.09,ETH
2025-10-12 22:00:00,4135.54,4154.92,4111.56,4134.6,78848.65,ETH
2025-10-12 23:00:00,4134.6,4160.99,4109.04,4152.5,70508.28,ETH
2025-10-13 00:00:00,4152.5,4185.77,4124.72,4139.73,103966.84,ETH
2025-10-13 01:00:00,4139.73,4199.35,4127.21,4199.06,82340.3,ETH
2025-10-13 02:00:00,4199.06,4216.41,4153.55,4158.72,83592.77,ETH
2025-10-13 03:00:00,4158.72,4169.99,4132.71,4140.07,57943.49,ETH
2025-10-13 04:00:00,4140.07,4147.0,4116.39,4142.36,53305.29,ETH
2025-10-13 05:00:00,4142.36,4144.17,4123.53,4131.45,37387.2,ETH
2025-10-13 06:00:00,4131.45,4182.46,4116.86,4170.2,63852.32,ETH
2025-10-13 07:00:00,4170.2,4197.91,4159.48,4178.48,72859.68,ETH
2025-10-13 08:00:00,4178.48,4195.1,4167.55,4175.35,47655.81,ETH
2025-10-13 09:00:00,4175.35,4176.78,4143.76,4164.46,52293.87,ETH
2025-10-13 10:00:00,4164.46,4167.1,4140.24,4151.88,41173.66,ETH
2025-10-13 11:00:00,4151.88,4151.88,4056.06,4080.48,156469.35,ETH
2025-10-13 12:00:00,4080.48,4133.05,4056.88,4097.53,107208.22,ETH
2025-10-13 13:00:00,4097.53,4175.26,4092.85,4164.69,182380.53,ETH
2025-10-13 14:00:00,4164.69,4175.55,4081.95,4095.52,138298.56,ETH
2025-10-13 15:00:00,4095.52,4147.54,4093.75,4135.21,90037.47,ETH
2025-10-13 16:00:00,4135.21,4172.65,4129.27,4165.19,96507.35,ETH
2025-10-13 17:00:00,4165.19,4237.11,4157.02,4235.84,110151.26,ETH
2025-10-13 18:00:00,4235.84,4238.87,4200.12,4228.34,80471.4,ETH
2025-10-13 19:00:00,4228.34,4271.29,4223.57,4251.86,89164.1,ETH
2025-10-13 20:00:00,4251.86,4289.02,4243.79,4287.05,68305.86,ETH
2025-10-13 21:00:00,4287.05,4289.91,4255.25,4258.43,44841.82,ETH
2025-10-13 22:00:00,4258.43,4276.38,4252.12,4271.31,37401.41,ETH
2025-10-13 23:00:00,4271.31,4271.31,4237.07,4241.15,41475.3,ETH
2025-10-14 00:00:00,4241.15,4263.35,4228.42,4242.49,48352.36,ETH
2025-10-14 01:00:00,4242.49,4243.57,4202.89,4211.22,63919.24,ETH
2025-10-14 02:00:00,4211.22,4211.4,4167.82,4172.41,76635.58,ETH
2025-10-14 03:00:00,4172.41,4173.92,4137.95,4153.51,82820.49,ETH
2025-10-14 04:00:00,4153.51,4160.57,4087.13,4100.25,92589.16,ETH
2025-10-14 05:00:00,4100.25,4126.47,4056.47,4070.08,97334.65,ETH
2025-10-14 06:00:00,4070.08,4091.33,3976.21,4003.42,176325.15,ETH
2025-10-14 07:00:00,4003.42,4025.41,3969.55,3981.07,154690.22,ETH
2025-10-14 08:00:00,3981.07,4010.63,3952.26,3996.64,93959.57,ETH
2025-10-14 09:00:00,3996.64,4014.41,3970.53,3985.63,65042.88,ETH
2025-10-14 10:00:00,3985.63,3986.21,3890.21,3942.1,164754.23,ETH
2025-10-14 11:00:00,3942.1,3985.42,3941.85,3971.69,100223.84,ETH
2025-10-14 12:00:00,3971.69,3973.62,3931.83,3941.17,94898.84,ETH
2025-10-14 13:00:00,3941.17,3975.37,3897.94,3956.32,181322.05,ETH
2025-10-14 14:00:00,3956.32,4016.9,3940.89,3970.28,210908.75,ETH
2025-10-14 15:00:00,3970.28,4088.4,3950.9,4085.16,164065.14,ETH
2025-10-14 16:00:00,4085.16,4154.63,4058.38,4096.04,216292.58,ETH
2025-10-14 17:00:00,4096.04,4139.88,4052.56,4101.26,155891.91,ETH
2025-10-14 18:00:00,4101.26,4137.85,4094.08,4120.6,101824.95,ETH
